,count
IPC 372,17
IPC 354C,11
IPC 354,10
IPC 217,10
IPC 171H,9
IPC 338,9
IPC 316,9
IPC 309,9
IPC 380,9
IPC 208,9
IPC 216A,8
IPC 333,8
IPC 480,8
IPC 375,8
IPC 391,8
IPC 356,8
IPC 212,7
IPC 314,7
IPC 452,7
IPC 346,7
IPC 312,6
IPC 223,6
IPC 221,6
IPC 205,6
IPC 439,6
IPC 196,6
IPC 171A,5
IPC 130,5
IPC 302,5
IPC 220,5
IPC 488,5
IPC 171C,5
IPC 224,5
IPC 461,5
IPC 475,4
IPC 376D,4
IPC 466,4
IPC 125,4
IPC 376B,4
IPC 383,4
IPC 376A,4
IPC 153B,4
IPC 303,4
IPC 484,4
IPC 142,4
IPC 410,4
IPC 463,4
IPC 203,4
IPC 393,4
IPC 197,4
IPC 498B,4
IPC 345,4
IPC 369,4
IPC 315,4
IPC 126,3
IPC 438,3
IPC 225,3
IPC 320,3
IPC 431,3
IPC 318,3
IPC 368,3
IPC 326A,3
IPC 423,3
IPC 354A,3
IPC 332,3
IPC 482,3
IPC 379,3
IPC 153A,3
IPC 412,3
IPC 219,3
IPC 501,3
IPC 353,3
IPC 193,3
IPC 198,3
IPC 147,3
IPC 343,3
IPC 171D,3
IPC 510,3
IPC 206,3
IPC 505,3
IPC 385,3
IPC 364,3
IPC 159,3
IPC 213,3
IPC 158,3
IPC 487,3
IPC 506,3
IPC 471,3
IPC 426,3
IPC 444,3
IPC 148,3
IPC 357,2
IPC 465,2
IPC 121,2
IPC 462,2
IPC 433,2
IPC 366A,2
IPC 464,2
IPC 366B,2
IPC 365,2
IPC 364A,2
IPC 359,2
IPC 417,2
IPC 370,2
IPC 392,2
IPC 414,2
IPC 413,2
IPC 411,2
IPC 442,2
IPC 443,2
IPC 404,2
IPC 403,2
IPC 399,2
IPC 446,2
IPC 394,2
IPC 389,2
IPC 458,2
IPC 387,2
IPC 450,2
IPC 451,2
IPC 436,2
IPC 378,2
IPC 376E,2
IPC 376C,2
IPC 376,2
IPC 373,2
IPC 435,2
IPC 120B,2
IPC 432,2
IPC 354D,2
IPC 503,2
IPC 498A,2
IPC 485,2
IPC 225A,2
IPC 222,2
IPC 215,2
IPC 214,2
IPC 151,2
IPC 152,2
IPC 489C,2
IPC 201,2
IPC 200,2
IPC 300,2
IPC 154,2
IPC 199,2
IPC 195,2
IPC 489D,2
IPC 500,2
IPC 171F,2
IPC 171B,2
IPC 171,2
IPC 169,2
IPC 168,2
IPC 299,2
IPC 226,2
IPC 301,2
IPC 321,2
IPC 351,2
IPC 470,2
IPC 121A,2
IPC 341,2
IPC 340,2
IPC 339,2
IPC 337,2
IPC 335,2
IPC 474,2
IPC 326,2
IPC 304A,2
IPC 476,2
IPC 127,2
IPC 313,2
IPC 311,2
IPC 478,2
IPC 307,2
IPC 481,2
IPC 507,2
IPC 167,2
IPC 509,1
IPC 498E,1
IPC 504,1
IPC 437,1
IPC 498D,1
IPC 508,1
IPC 489A,1
IPC 445,1
IPC 447,1
IPC 489E,1
IPC 448,1
IPC 449,1
IPC 489B,1
IPC 467,1
IPC 453,1
IPC 486,1
IPC 483,1
IPC 454,1
IPC 460,1
IPC 477A,1
IPC 472,1
IPC 477,1
IPC 361,1
IPC 429,1
IPC 192,1
IPC 317,1
IPC 310,1
IPC 308,1
IPC 306,1
IPC 305,1
IPC 304B,1
IPC 304,1
IPC 225B,1
IPC 218,1
IPC 216,1
IPC 211,1
IPC 210,1
IPC 209,1
IPC 204,1
IPC 171G,1
IPC 323,1
IPC 165,1
IPC 163,1
IPC 161,1
IPC 160,1
IPC 156,1
IPC 155,1
IPC 153,1
IPC 149,1
IPC 146,1
IPC 144,1
IPC 143,1
IPC 129,1
IPC 124A,1
IPC 123,1
IPC 319,1
IPC 325,1
IPC 428,1
IPC 384,1
IPC 425,1
IPC 421,1
IPC 420,1
IPC 416,1
IPC 407,1
IPC 406,1
IPC 405,1
IPC 402,1
IPC 401,1
IPC 398,1
IPC 396,1
IPC 390,1
IPC 388,1
IPC 386,1
IPC 382,1
IPC 328,1
IPC 381,1
IPC 374,1
IPC 370A,1
IPC 368A,1
IPC 367,1
IPC 366,1
IPC 363A,1
IPC 363,1
IPC 358,1
IPC 355,1
IPC 352,1
IPC 350,1
IPC 348,1
IPC 347,1
IPC 511,1
