,count
IPC 217,909
IPC 171E,416
IPC 395,385
IPC 486,359
IPC 314,339
IPC 171I,334
IPC 216A,318
IPC 171H,301
IPC 435,297
IPC 489C,292
IPC 167,278
IPC 445,237
IPC 222,174
IPC 197,163
IPC 479,154
IPC 484,150
IPC 354C,149
IPC 503,147
IPC 225A,136
IPC 171,125
IPC 388,113
IPC 150,111
IPC 401,110
IPC 153,110
IPC 203,98
IPC 354,95
IPC 373,82
IPC 375,73
IPC 143,73
IPC 507,71
IPC 433,70
IPC 478,69
IPC 166,67
IPC 379,64
IPC 402,52
IPC 170,49
IPC 376B,49
IPC 469,48
IPC 309,32
IPC 205,31
IPC 498D,30
IPC 476,29
IPC 419,28
IPC 327,28
IPC 305,28
IPC 347,26
IPC 372,26
IPC 351,25
IPC 502,24
IPC 349,24
IPC 333,24
IPC 304B,22
IPC 130,21
IPC 363A,21
IPC 194,20
IPC 354D,20
IPC 446,19
IPC 307,18
IPC 120A,18
IPC 356,16
IPC 171D,15
IPC 216,15
IPC 211,15
IPC 376D,14
IPC 376E,13
IPC 482,13
IPC 128,13
IPC 121,13
IPC 461,12
IPC 122,12
IPC 300,12
IPC 339,11
IPC 428,10
IPC 358,10
IPC 202,10
IPC 413,10
IPC 321,10
IPC 353,9
IPC 131,9
IPC 437,8
IPC 407,8
IPC 405,8
IPC 370,7
IPC 370A,7
IPC 380,7
IPC 453,7
IPC 329,7
IPC 306,7
IPC 153B,7
IPC 201,7
IPC 354A,7
IPC 169,7
IPC 498E,6
IPC 471,6
IPC 310,6
IPC 451,6
IPC 466,6
IPC 165,6
IPC 145,5
IPC 418,5
IPC 498B,5
IPC 365,5
IPC 214,5
IPC 223,5
IPC 488,5
IPC 206,5
IPC 412,5
IPC 384,5
IPC 374,5
IPC 348,5
IPC 425,4
IPC 506,4
IPC 500,4
IPC 366B,4
IPC 442,4
IPC 429,4
IPC 146,4
IPC 192,4
IPC 360,4
IPC 338,4
IPC 422,4
IPC 126,4
IPC 421,4
IPC 308,4
IPC 508,4
IPC 464,4
IPC 481,4
IPC 198,4
IPC 404,4
IPC 406,4
IPC 473,4
IPC 472,4
IPC 168,4
IPC 468,4
IPC 408,4
IPC 449,4
IPC 410,4
IPC 121A,4
IPC 355,4
IPC 457,4
IPC 381,4
IPC 455,4
IPC 304A,4
IPC 376C,4
IPC 463,4
IPC 510,4
IPC 376,3
IPC 376A,3
IPC 397,3
IPC 394,3
IPC 411,3
IPC 120B,3
IPC 368A,3
IPC 414,3
IPC 362,3
IPC 363,3
IPC 129,3
IPC 409,3
IPC 391,3
IPC 480,3
IPC 452,3
IPC 225B,3
IPC 456,3
IPC 313,3
IPC 312,3
IPC 498A,3
IPC 489B,3
IPC 460,3
IPC 301,3
IPC 299,3
IPC 163,3
IPC 322,3
IPC 225,3
IPC 224,3
IPC 215,3
IPC 474,3
IPC 485,3
IPC 483,3
IPC 477A,3
IPC 199,3
IPC 142,3
IPC 337,3
IPC 340,3
IPC 505,3
IPC 154,3
IPC 144,3
IPC 346,3
IPC 336,3
IPC 152,3
IPC 441,3
IPC 432,3
IPC 465,2
IPC 467,2
IPC 431,2
IPC 423,2
IPC 477,2
IPC 424,2
IPC 403,2
IPC 487,2
IPC 448,2
IPC 434,2
IPC 504,2
IPC 450,2
IPC 440,2
IPC 489A,2
IPC 417,2
IPC 458,2
IPC 416,2
IPC 443,2
IPC 444,2
IPC 415,2
IPC 509,2
IPC 427,2
IPC 511,2
IPC 316,2
IPC 171G,2
IPC 155,2
IPC 341,2
IPC 157,2
IPC 158,2
IPC 160,2
IPC 330,2
IPC 164,2
IPC 171A,2
IPC 171B,2
IPC 171C,2
IPC 323,2
IPC 320,2
IPC 191,2
IPC 153A,2
IPC 195,2
IPC 315,2
IPC 200,2
IPC 304,2
IPC 303,2
IPC 302,2
IPC 226,2
IPC 221,2
IPC 207,2
IPC 219,2
IPC 218,2
IPC 212,2
IPC 345,2
IPC 335,2
IPC 350,2
IPC 366,2
IPC 398,2
IPC 393,2
IPC 392,2
IPC 390,2
IPC 389,2
IPC 387,2
IPC 386,2
IPC 385,2
IPC 382,2
IPC 378,2
IPC 371,2
IPC 127,2
IPC 141,2
IPC 366A,2
IPC 210,2
IPC 364,2
IPC 354B,2
IPC 357,2
IPC 147,1
IPC 489E,1
IPC 156,1
IPC 208,1
IPC 475,1
IPC 123,1
IPC 498C,1
IPC 151,1
IPC 209,1
IPC 204,1
IPC 159,1
IPC 148,1
IPC 124A,1
IPC 196,1
IPC 149,1
IPC 161,1
IPC 193,1
IPC 125,1
IPC 501,1
IPC 489,1
IPC 162,1
IPC 171F,1
IPC 400,1
IPC 470,1
IPC 426,1
IPC 438,1
IPC 436,1
IPC 342,1
IPC 343,1
IPC 344,1
IPC 430,1
IPC 352,1
IPC 361,1
IPC 213,1
IPC 364A,1
IPC 420,1
IPC 367,1
IPC 368,1
IPC 369,1
IPC 383,1
IPC 396,1
IPC 439,1
IPC 334,1
IPC 332,1
IPC 331,1
IPC 220,1
IPC 462,1
IPC 459,1
IPC 311,1
IPC 399,1
IPC 317,1
IPC 454,1
IPC 318,1
IPC 319,1
IPC 324,1
IPC 325,1
IPC 447,1
IPC 326,1
IPC 326A,1
IPC 328,1
IPC 359,1
