,count
IPC 420,33
IPC 415,32
IPC 376,23
IPC 360,21
IPC 167,20
IPC 468,16
IPC 506,16
IPC 362,16
IPC 354,16
IPC 168,15
IPC 326A,15
IPC 386,15
IPC 379,14
IPC 390,13
IPC 125,13
IPC 124A,12
IPC 354B,12
IPC 477A,12
IPC 309,11
IPC 121,11
IPC 153B,11
IPC 326,10
IPC 306,10
IPC 304A,10
IPC 366A,10
IPC 402,9
IPC 120A,9
IPC 354A,9
IPC 354C,9
IPC 131,8
IPC 304,8
IPC 359,8
IPC 322,8
IPC 405,8
IPC 396,8
IPC 366B,7
IPC 395,7
IPC 406,7
IPC 409,7
IPC 507,7
IPC 211,7
IPC 171E,7
IPC 307,7
IPC 319,7
IPC 505,7
IPC 339,7
IPC 509,6
IPC 321,6
IPC 504,6
IPC 342,6
IPC 392,6
IPC 196,6
IPC 153A,6
IPC 143,5
IPC 166,5
IPC 193,5
IPC 498A,5
IPC 471,5
IPC 465,5
IPC 354D,5
IPC 320,5
IPC 325,5
IPC 363A,5
IPC 381,5
IPC 141,4
IPC 147,4
IPC 302,4
IPC 503,4
IPC 376A,4
IPC 361,4
IPC 300,4
IPC 146,4
IPC 308,4
IPC 340,4
IPC 341,4
IPC 324,4
IPC 327,4
IPC 403,4
IPC 323,4
IPC 463,4
IPC 375,3
IPC 120B,3
IPC 384,3
IPC 399,3
IPC 418,3
IPC 380,3
IPC 382,3
IPC 467,3
IPC 304B,2
IPC 417,2
IPC 191,1
