,count
IPC 389,42
IPC 508,34
IPC 203,33
IPC 500,29
IPC 394,28
IPC 353,28
IPC 421,27
IPC 348,27
IPC 505,26
IPC 154,22
IPC 340,22
IPC 164,21
IPC 225,20
IPC 166,20
IPC 127,20
IPC 402,19
IPC 169,17
IPC 455,17
IPC 120A,15
IPC 419,14
IPC 454,14
IPC 171B,14
IPC 385,14
IPC 498D,14
IPC 333,13
IPC 481,11
IPC 507,11
IPC 384,11
IPC 498B,11
IPC 489C,11
IPC 347,10
IPC 395,10
IPC 396,10
IPC 361,10
IPC 468,10
IPC 418,10
IPC 366B,9
IPC 171D,9
IPC 376A,9
IPC 424,9
IPC 200,9
IPC 425,8
IPC 144,8
IPC 354,7
IPC 197,7
IPC 225A,7
IPC 461,7
IPC 221,7
IPC 453,7
IPC 313,7
IPC 341,7
IPC 474,7
IPC 305,7
IPC 198,6
IPC 143,6
IPC 376,6
IPC 349,6
IPC 375,6
IPC 410,6
IPC 220,6
IPC 448,5
IPC 307,5
IPC 304,5
IPC 437,5
IPC 211,5
IPC 302,5
IPC 381,5
IPC 390,5
IPC 451,5
IPC 442,5
IPC 376C,5
IPC 476,5
IPC 489A,5
IPC 338,5
IPC 363A,5
IPC 191,5
IPC 161,5
IPC 346,5
IPC 171E,5
IPC 406,5
IPC 365,4
IPC 450,4
IPC 371,4
IPC 323,4
IPC 392,4
IPC 382,4
IPC 435,4
IPC 387,4
IPC 445,4
IPC 367,4
IPC 350,4
IPC 379,4
IPC 171H,4
IPC 217,4
IPC 123,4
IPC 195,4
IPC 464,4
IPC 484,4
IPC 171A,4
IPC 168,3
IPC 356,3
IPC 355,3
IPC 162,3
IPC 354C,3
IPC 407,3
IPC 171C,3
IPC 358,3
IPC 171G,3
IPC 416,3
IPC 452,3
IPC 171I,3
IPC 467,3
IPC 337,3
IPC 405,3
IPC 398,3
IPC 160,3
IPC 335,3
IPC 376E,3
IPC 376D,3
IPC 376B,3
IPC 383,3
IPC 498E,3
IPC 498C,3
IPC 498A,3
IPC 489E,3
IPC 489D,3
IPC 150,3
IPC 366,3
IPC 486,3
IPC 485,3
IPC 483,3
IPC 480,3
IPC 336,3
IPC 225B,3
IPC 199,3
IPC 204,3
IPC 440,3
IPC 317,3
IPC 316,3
IPC 201,3
IPC 208,3
IPC 209,3
IPC 310,3
IPC 309,3
IPC 212,3
IPC 214,3
IPC 449,3
IPC 304A,3
IPC 303,3
IPC 300,3
IPC 223,3
IPC 436,3
IPC 301,3
IPC 431,3
IPC 202,3
IPC 426,3
IPC 328,3
IPC 430,3
IPC 326,3
IPC 409,2
IPC 420,2
IPC 386,2
IPC 473,2
IPC 501,2
IPC 502,2
IPC 458,2
IPC 427,2
IPC 503,2
IPC 504,2
IPC 506,2
IPC 472,2
IPC 456,2
IPC 510,2
IPC 388,2
IPC 447,2
IPC 460,2
IPC 434,2
IPC 466,2
IPC 477A,2
IPC 438,2
IPC 439,2
IPC 477,2
IPC 415,2
IPC 463,2
IPC 429,2
IPC 475,2
IPC 446,2
IPC 393,2
IPC 489,2
IPC 489B,2
IPC 478,2
IPC 443,2
IPC 511,2
IPC 380,2
IPC 339,2
IPC 171F,2
IPC 192,2
IPC 205,2
IPC 207,2
IPC 213,2
IPC 216,2
IPC 219,2
IPC 226,2
IPC 304B,2
IPC 378,2
IPC 314,2
IPC 320,2
IPC 325,2
IPC 327,2
IPC 329,2
IPC 167,2
IPC 163,2
IPC 159,2
IPC 142,2
IPC 121A,2
IPC 126,2
IPC 129,2
IPC 130,2
IPC 131,2
IPC 141,2
IPC 145,2
IPC 157,2
IPC 146,2
IPC 147,2
IPC 148,2
IPC 149,2
IPC 153B,2
IPC 155,2
IPC 332,2
IPC 306,2
IPC 370,2
IPC 351,2
IPC 354A,2
IPC 364,2
IPC 354B,2
IPC 360,2
IPC 368,2
IPC 368A,2
IPC 352,2
IPC 363,2
IPC 373,2
IPC 357,2
IPC 120B,2
IPC 374,2
IPC 344,2
IPC 399,1
IPC 171,1
IPC 401,1
IPC 479,1
IPC 170,1
IPC 165,1
IPC 400,1
IPC 158,1
IPC 482,1
IPC 397,1
IPC 156,1
IPC 193,1
IPC 362,1
IPC 342,1
IPC 153,1
IPC 487,1
IPC 370A,1
IPC 121,1
IPC 509,1
IPC 122,1
IPC 124A,1
IPC 125,1
IPC 128,1
IPC 372,1
IPC 369,1
IPC 488,1
IPC 391,1
IPC 366A,1
IPC 364A,1
IPC 151,1
IPC 152,1
IPC 470,1
IPC 153A,1
IPC 471,1
IPC 404,1
IPC 469,1
IPC 433,1
IPC 441,1
IPC 318,1
IPC 319,1
IPC 413,1
IPC 321,1
IPC 322,1
IPC 324,1
IPC 414,1
IPC 432,1
IPC 412,1
IPC 326A,1
IPC 345,1
IPC 428,1
IPC 330,1
IPC 331,1
IPC 334,1
IPC 423,1
IPC 422,1
IPC 315,1
IPC 444,1
IPC 194,1
IPC 215,1
IPC 196,1
IPC 343,1
IPC 465,1
IPC 206,1
IPC 462,1
IPC 210,1
IPC 354D,1
IPC 459,1
IPC 457,1
IPC 312,1
IPC 216A,1
IPC 408,1
IPC 222,1
IPC 224,1
IPC 299,1
IPC 411,1
IPC 308,1
IPC 311,1
IPC 359,1
