,count
IPC 415,114
IPC 420,113
IPC 506,92
IPC 379,65
IPC 376,65
IPC 409,57
IPC 360,53
IPC 386,51
IPC 167,51
IPC 362,48
IPC 168,42
IPC 326A,39
IPC 302,34
IPC 354,31
IPC 321,26
IPC 153B,24
IPC 468,23
IPC 354B,20
IPC 339,19
IPC 304,19
IPC 124A,19
IPC 121,18
IPC 390,17
IPC 125,17
IPC 143,16
IPC 477A,16
IPC 307,15
IPC 354A,15
IPC 299,15
IPC 405,13
IPC 120A,13
IPC 211,12
IPC 322,12
IPC 309,12
IPC 366B,12
IPC 396,12
IPC 395,11
IPC 324,11
IPC 326,11
IPC 366A,10
IPC 319,10
IPC 402,10
IPC 166,10
IPC 304A,10
IPC 306,10
IPC 359,9
IPC 354C,9
IPC 507,9
IPC 463,8
IPC 146,8
IPC 498A,8
IPC 131,8
IPC 505,7
IPC 354D,7
IPC 406,7
IPC 171E,7
IPC 141,6
IPC 153A,6
IPC 509,6
IPC 392,6
IPC 196,6
IPC 325,6
IPC 375,6
IPC 342,6
IPC 504,6
IPC 381,5
IPC 193,5
IPC 191,5
IPC 320,5
IPC 465,5
IPC 403,5
IPC 471,5
IPC 378,5
IPC 363A,5
IPC 327,5
IPC 147,4
IPC 308,4
IPC 503,4
IPC 382,4
IPC 300,4
IPC 376A,4
IPC 323,4
IPC 361,4
IPC 341,4
IPC 340,4
IPC 399,3
IPC 120B,3
IPC 384,3
IPC 380,3
IPC 467,3
IPC 418,3
IPC 304B,2
IPC 417,2
