,count
IPC 403,248
IPC 389,83
IPC 500,81
IPC 508,69
IPC 203,64
IPC 421,57
IPC 348,54
IPC 455,53
IPC 376A,53
IPC 164,52
IPC 396,51
IPC 144,50
IPC 505,50
IPC 353,49
IPC 385,48
IPC 154,47
IPC 225,45
IPC 171,40
IPC 489C,40
IPC 384,39
IPC 394,38
IPC 127,37
IPC 200,36
IPC 169,35
IPC 452,33
IPC 340,33
IPC 218,33
IPC 454,32
IPC 171B,32
IPC 402,31
IPC 474,31
IPC 448,29
IPC 418,28
IPC 476,27
IPC 350,26
IPC 481,25
IPC 166,25
IPC 366B,25
IPC 467,24
IPC 313,24
IPC 472,22
IPC 171C,20
IPC 390,20
IPC 419,20
IPC 171A,19
IPC 498D,19
IPC 216,18
IPC 333,18
IPC 197,17
IPC 354B,17
IPC 404,16
IPC 425,16
IPC 387,16
IPC 191,15
IPC 507,15
IPC 468,15
IPC 120A,15
IPC 405,14
IPC 217,14
IPC 225A,13
IPC 341,13
IPC 329,13
IPC 347,13
IPC 437,12
IPC 300,12
IPC 395,12
IPC 361,12
IPC 305,11
IPC 498B,11
IPC 461,11
IPC 376,10
IPC 489E,10
IPC 354,10
IPC 334,10
IPC 171F,10
IPC 401,10
IPC 171D,9
IPC 386,9
IPC 424,9
IPC 370,9
IPC 161,8
IPC 307,8
IPC 489D,8
IPC 375,8
IPC 304B,8
IPC 356,8
IPC 198,8
IPC 221,7
IPC 223,7
IPC 453,7
IPC 323,7
IPC 367,7
IPC 349,6
IPC 442,6
IPC 450,6
IPC 393,6
IPC 354C,6
IPC 482,6
IPC 363A,6
IPC 410,6
IPC 511,6
IPC 143,6
IPC 212,6
IPC 220,6
IPC 451,5
IPC 381,5
IPC 123,5
IPC 304,5
IPC 171E,5
IPC 338,5
IPC 435,5
IPC 211,5
IPC 406,5
IPC 489A,5
IPC 376D,5
IPC 302,5
IPC 346,5
IPC 376C,5
IPC 473,5
IPC 195,4
IPC 365,4
IPC 484,4
IPC 382,4
IPC 483,4
IPC 379,4
IPC 445,4
IPC 475,4
IPC 488,4
IPC 171H,4
IPC 328,4
IPC 392,4
IPC 366,4
IPC 423,4
IPC 464,4
IPC 366A,4
IPC 120B,4
IPC 149,4
IPC 503,4
IPC 429,4
IPC 431,4
IPC 371,4
IPC 150,3
IPC 204,3
IPC 202,3
IPC 449,3
IPC 373,3
IPC 199,3
IPC 201,3
IPC 304A,3
IPC 376B,3
IPC 168,3
IPC 416,3
IPC 426,3
IPC 160,3
IPC 409,3
IPC 407,3
IPC 162,3
IPC 430,3
IPC 433,3
IPC 376E,3
IPC 398,3
IPC 170,3
IPC 171G,3
IPC 171I,3
IPC 436,3
IPC 458,3
IPC 383,3
IPC 440,3
IPC 417,3
IPC 301,3
IPC 215,3
IPC 489B,3
IPC 498A,3
IPC 486,3
IPC 485,3
IPC 498C,3
IPC 498E,3
IPC 225B,3
IPC 335,3
IPC 336,3
IPC 337,3
IPC 319,3
IPC 317,3
IPC 480,3
IPC 316,3
IPC 326,3
IPC 214,3
IPC 309,3
IPC 303,3
IPC 208,3
IPC 358,3
IPC 209,3
IPC 355,3
IPC 310,3
IPC 501,2
IPC 121A,2
IPC 504,2
IPC 427,2
IPC 155,2
IPC 506,2
IPC 510,2
IPC 434,2
IPC 157,2
IPC 420,2
IPC 502,2
IPC 126,2
IPC 460,2
IPC 438,2
IPC 129,2
IPC 142,2
IPC 159,2
IPC 456,2
IPC 148,2
IPC 466,2
IPC 146,2
IPC 145,2
IPC 447,2
IPC 469,2
IPC 446,2
IPC 141,2
IPC 489,2
IPC 477,2
IPC 477A,2
IPC 478,2
IPC 131,2
IPC 443,2
IPC 130,2
IPC 439,2
IPC 147,2
IPC 153B,2
IPC 463,2
IPC 360,2
IPC 325,2
IPC 364,2
IPC 374,2
IPC 327,2
IPC 226,2
IPC 368A,2
IPC 368,2
IPC 205,2
IPC 332,2
IPC 224,2
IPC 339,2
IPC 207,2
IPC 380,2
IPC 363,2
IPC 342,2
IPC 415,2
IPC 357,2
IPC 344,2
IPC 219,2
IPC 354A,2
IPC 213,2
IPC 352,2
IPC 378,2
IPC 351,2
IPC 311,2
IPC 388,2
IPC 167,2
IPC 163,2
IPC 320,2
IPC 192,2
IPC 314,2
IPC 306,2
IPC 414,2
IPC 308,1
IPC 479,1
IPC 222,1
IPC 345,1
IPC 121,1
IPC 122,1
IPC 343,1
IPC 509,1
IPC 312,1
IPC 324,1
IPC 315,1
IPC 128,1
IPC 318,1
IPC 331,1
IPC 321,1
IPC 487,1
IPC 330,1
IPC 124A,1
IPC 322,1
IPC 326A,1
IPC 216A,1
IPC 125,1
IPC 299,1
IPC 158,1
IPC 359,1
IPC 471,1
IPC 470,1
IPC 196,1
IPC 194,1
IPC 193,1
IPC 391,1
IPC 397,1
IPC 399,1
IPC 432,1
IPC 165,1
IPC 428,1
IPC 408,1
IPC 411,1
IPC 412,1
IPC 156,1
IPC 413,1
IPC 422,1
IPC 441,1
IPC 153A,1
IPC 444,1
IPC 364A,1
IPC 210,1
IPC 354D,1
IPC 465,1
IPC 362,1
IPC 462,1
IPC 459,1
IPC 457,1
IPC 372,1
IPC 206,1
IPC 151,1
IPC 369,1
IPC 152,1
IPC 370A,1
IPC 153,1
IPC 400,1
