,count
IPC 430,19
IPC 407,19
IPC 376A,16
IPC 225A,12
IPC 315,10
IPC 171G,10
IPC 465,10
IPC 376E,9
IPC 476,9
IPC 376B,9
IPC 450,9
IPC 460,8
IPC 122,8
IPC 453,8
IPC 387,7
IPC 225B,7
IPC 375,7
IPC 145,7
IPC 165,7
IPC 486,6
IPC 383,6
IPC 429,6
IPC 303,6
IPC 498B,6
IPC 318,5
IPC 304A,5
IPC 347,5
IPC 219,5
IPC 209,5
IPC 376D,5
IPC 339,5
IPC 447,5
IPC 317,5
IPC 386,5
IPC 201,5
IPC 213,5
IPC 150,5
IPC 168,5
IPC 127,5
IPC 304,4
IPC 484,4
IPC 300,4
IPC 398,4
IPC 161,4
IPC 379,4
IPC 215,4
IPC 376C,4
IPC 481,4
IPC 409,4
IPC 309,4
IPC 408,4
IPC 124A,4
IPC 406,4
IPC 434,4
IPC 200,4
IPC 371,4
IPC 472,4
IPC 334,4
IPC 301,3
IPC 413,3
IPC 449,3
IPC 330,3
IPC 424,3
IPC 332,3
IPC 319,3
IPC 226,3
IPC 415,3
IPC 308,3
IPC 502,3
IPC 376,3
IPC 299,3
IPC 221,3
IPC 411,3
IPC 441,3
IPC 436,3
IPC 171H,3
IPC 356,3
IPC 362,3
IPC 157,3
IPC 439,3
IPC 340,3
IPC 216,3
IPC 125,3
IPC 338,3
IPC 159,3
IPC 225,3
IPC 367,2
IPC 354D,2
IPC 354C,2
IPC 426,2
IPC 120B,2
IPC 355,2
IPC 431,2
IPC 365,2
IPC 432,2
IPC 423,2
IPC 400,2
IPC 370A,2
IPC 445,2
IPC 397,2
IPC 402,2
IPC 395,2
IPC 393,2
IPC 390,2
IPC 388,2
IPC 404,2
IPC 405,2
IPC 384,2
IPC 440,2
IPC 354A,2
IPC 378,2
IPC 410,2
IPC 414,2
IPC 416,2
IPC 419,2
IPC 420,2
IPC 421,2
IPC 442,2
IPC 457,2
IPC 363,2
IPC 354,2
IPC 217,2
IPC 212,2
IPC 208,2
IPC 207,2
IPC 459,2
IPC 202,2
IPC 199,2
IPC 195,2
IPC 192,2
IPC 191,2
IPC 489,2
IPC 171D,2
IPC 489C,2
IPC 171A,2
IPC 170,2
IPC 166,2
IPC 164,2
IPC 163,2
IPC 162,2
IPC 151,2
IPC 500,2
IPC 148,2
IPC 503,2
IPC 504,2
IPC 129,2
IPC 509,2
IPC 121A,2
IPC 121,2
IPC 480,2
IPC 483,2
IPC 468,2
IPC 477A,2
IPC 328,2
IPC 463,2
IPC 326,2
IPC 345,2
IPC 323,2
IPC 331,2
IPC 336,2
IPC 462,2
IPC 321,2
IPC 470,2
IPC 311,2
IPC 348,2
IPC 310,2
IPC 350,2
IPC 305,2
IPC 304B,2
IPC 342,2
IPC 498E,1
IPC 464,1
IPC 507,1
IPC 454,1
IPC 498D,1
IPC 455,1
IPC 510,1
IPC 433,1
IPC 479,1
IPC 489E,1
IPC 452,1
IPC 451,1
IPC 466,1
IPC 446,1
IPC 489A,1
IPC 469,1
IPC 435,1
IPC 444,1
IPC 488,1
IPC 487,1
IPC 437,1
IPC 473,1
IPC 489D,1
IPC 120A,1
IPC 428,1
IPC 171I,1
IPC 316,1
IPC 312,1
IPC 307,1
IPC 224,1
IPC 223,1
IPC 216A,1
IPC 214,1
IPC 211,1
IPC 206,1
IPC 205,1
IPC 203,1
IPC 196,1
IPC 193,1
IPC 171E,1
IPC 327,1
IPC 171C,1
IPC 167,1
IPC 160,1
IPC 156,1
IPC 155,1
IPC 154,1
IPC 149,1
IPC 147,1
IPC 144,1
IPC 141,1
IPC 130,1
IPC 128,1
IPC 126,1
IPC 322,1
IPC 329,1
IPC 427,1
IPC 370,1
IPC 425,1
IPC 422,1
IPC 412,1
IPC 396,1
IPC 394,1
IPC 392,1
IPC 385,1
IPC 382,1
IPC 381,1
IPC 380,1
IPC 374,1
IPC 373,1
IPC 372,1
IPC 369,1
IPC 335,1
IPC 368A,1
IPC 366B,1
IPC 366A,1
IPC 366,1
IPC 363A,1
IPC 359,1
IPC 357,1
IPC 354B,1
IPC 352,1
IPC 349,1
IPC 346,1
IPC 344,1
IPC 341,1
IPC 511,1
