,count
IPC 420,444
IPC 409,305
IPC 506,294
IPC 386,236
IPC 354,226
IPC 415,214
IPC 302,211
IPC 326A,187
IPC 376,179
IPC 168,164
IPC 395,154
IPC 360,141
IPC 362,118
IPC 321,112
IPC 324,111
IPC 167,110
IPC 379,98
IPC 382,88
IPC 341,77
IPC 143,61
IPC 354B,33
IPC 339,32
IPC 463,24
IPC 304,24
IPC 153B,24
IPC 468,23
IPC 124A,21
IPC 392,21
IPC 390,21
IPC 121,20
IPC 354A,19
IPC 322,18
IPC 477A,18
IPC 125,18
IPC 299,17
IPC 146,15
IPC 307,15
IPC 396,15
IPC 211,14
IPC 405,13
IPC 120A,13
IPC 309,12
IPC 366B,12
IPC 166,12
IPC 326,11
IPC 402,10
IPC 306,10
IPC 319,10
IPC 366A,10
IPC 304A,10
IPC 354C,9
IPC 498A,9
IPC 507,9
IPC 359,9
IPC 131,8
IPC 171E,7
IPC 406,7
IPC 505,7
IPC 354D,7
IPC 153A,6
IPC 141,6
IPC 375,6
IPC 342,6
IPC 325,6
IPC 509,6
IPC 504,6
IPC 196,6
IPC 191,5
IPC 193,5
IPC 471,5
IPC 381,5
IPC 465,5
IPC 403,5
IPC 327,5
IPC 320,5
IPC 363A,5
IPC 378,5
IPC 376A,4
IPC 503,4
IPC 300,4
IPC 308,4
IPC 147,4
IPC 361,4
IPC 323,4
IPC 340,4
IPC 399,3
IPC 120B,3
IPC 384,3
IPC 380,3
IPC 467,3
IPC 418,3
IPC 304B,2
IPC 417,2
