,count
IPC 169,631
IPC 450,525
IPC 171G,368
IPC 201,323
IPC 453,302
IPC 430,286
IPC 486,271
IPC 225A,260
IPC 465,250
IPC 407,232
IPC 213,202
IPC 203,200
IPC 166,152
IPC 456,151
IPC 225B,143
IPC 387,142
IPC 429,98
IPC 356,93
IPC 145,91
IPC 165,91
IPC 219,89
IPC 171F,84
IPC 150,70
IPC 509,67
IPC 378,64
IPC 216,63
IPC 194,58
IPC 386,55
IPC 476,55
IPC 200,53
IPC 376D,51
IPC 365,45
IPC 171C,43
IPC 408,43
IPC 498B,41
IPC 158,40
IPC 383,40
IPC 303,37
IPC 127,37
IPC 376E,36
IPC 391,36
IPC 376A,36
IPC 149,34
IPC 460,28
IPC 467,26
IPC 439,25
IPC 315,24
IPC 360,23
IPC 375,23
IPC 457,23
IPC 503,21
IPC 347,20
IPC 324,20
IPC 159,19
IPC 481,18
IPC 339,17
IPC 484,17
IPC 409,15
IPC 374,15
IPC 325,15
IPC 350,14
IPC 317,14
IPC 122,13
IPC 376B,13
IPC 161,13
IPC 171B,12
IPC 373,12
IPC 392,12
IPC 223,10
IPC 354,10
IPC 197,9
IPC 326A,9
IPC 123,9
IPC 385,8
IPC 318,8
IPC 413,8
IPC 124A,7
IPC 224,7
IPC 394,6
IPC 479,6
IPC 452,6
IPC 447,6
IPC 506,6
IPC 418,6
IPC 436,6
IPC 302,5
IPC 146,5
IPC 304A,5
IPC 340,5
IPC 143,5
IPC 221,5
IPC 401,5
IPC 162,5
IPC 168,5
IPC 210,5
IPC 209,5
IPC 371,4
IPC 398,4
IPC 319,4
IPC 507,4
IPC 399,4
IPC 389,4
IPC 333,4
IPC 334,4
IPC 344,4
IPC 379,4
IPC 477,4
IPC 434,4
IPC 501,4
IPC 482,4
IPC 376C,4
IPC 472,4
IPC 406,4
IPC 511,4
IPC 144,4
IPC 304,4
IPC 300,4
IPC 208,4
IPC 198,4
IPC 215,4
IPC 151,4
IPC 305,4
IPC 309,4
IPC 226,3
IPC 376,3
IPC 225,3
IPC 380,3
IPC 381,3
IPC 361,3
IPC 299,3
IPC 354C,3
IPC 498E,3
IPC 362,3
IPC 204,3
IPC 301,3
IPC 402,3
IPC 314,3
IPC 171H,3
IPC 411,3
IPC 415,3
IPC 475,3
IPC 424,3
IPC 441,3
IPC 152,3
IPC 448,3
IPC 449,3
IPC 157,3
IPC 502,3
IPC 458,3
IPC 338,3
IPC 332,3
IPC 311,3
IPC 330,3
IPC 320,3
IPC 125,3
IPC 308,3
IPC 345,3
IPC 312,3
IPC 191,2
IPC 410,2
IPC 171E,2
IPC 328,2
IPC 121,2
IPC 321,2
IPC 171D,2
IPC 329,2
IPC 397,2
IPC 405,2
IPC 404,2
IPC 414,2
IPC 192,2
IPC 400,2
IPC 477A,2
IPC 195,2
IPC 348,2
IPC 396,2
IPC 395,2
IPC 403,2
IPC 416,2
IPC 326,2
IPC 170,2
IPC 322,2
IPC 440,2
IPC 163,2
IPC 438,2
IPC 437,2
IPC 164,2
IPC 468,2
IPC 470,2
IPC 445,2
IPC 432,2
IPC 431,2
IPC 171,2
IPC 393,2
IPC 323,2
IPC 446,2
IPC 426,2
IPC 474,2
IPC 423,2
IPC 310,2
IPC 421,2
IPC 420,2
IPC 419,2
IPC 171A,2
IPC 148,2
IPC 478,2
IPC 202,2
IPC 331,2
IPC 367,2
IPC 489C,2
IPC 489D,2
IPC 306,2
IPC 462,2
IPC 498A,2
IPC 129,2
IPC 363,2
IPC 461,2
IPC 342,2
IPC 120B,2
IPC 498C,2
IPC 358,2
IPC 498D,2
IPC 343,2
IPC 355,2
IPC 354D,2
IPC 304B,2
IPC 354A,2
IPC 504,2
IPC 500,2
IPC 153A,2
IPC 489B,2
IPC 368,2
IPC 199,2
IPC 463,2
IPC 390,2
IPC 443,2
IPC 388,2
IPC 480,2
IPC 384,2
IPC 207,2
IPC 508,2
IPC 459,2
IPC 121A,2
IPC 212,2
IPC 483,2
IPC 336,2
IPC 217,2
IPC 218,2
IPC 487,2
IPC 370A,2
IPC 489,2
IPC 442,2
IPC 510,1
IPC 466,1
IPC 153,1
IPC 464,1
IPC 126,1
IPC 469,1
IPC 471,1
IPC 473,1
IPC 147,1
IPC 142,1
IPC 141,1
IPC 131,1
IPC 485,1
IPC 130,1
IPC 488,1
IPC 489A,1
IPC 489E,1
IPC 505,1
IPC 128,1
IPC 316,1
IPC 171I,1
IPC 153B,1
IPC 222,1
IPC 370,1
IPC 369,1
IPC 368A,1
IPC 366B,1
IPC 366A,1
IPC 366,1
IPC 364A,1
IPC 364,1
IPC 363A,1
IPC 359,1
IPC 357,1
IPC 354B,1
IPC 353,1
IPC 352,1
IPC 351,1
IPC 349,1
IPC 346,1
IPC 341,1
IPC 337,1
IPC 335,1
IPC 307,1
IPC 327,1
IPC 313,1
IPC 372,1
IPC 220,1
IPC 154,1
IPC 216A,1
IPC 455,1
IPC 454,1
IPC 155,1
IPC 156,1
IPC 451,1
IPC 160,1
IPC 444,1
IPC 435,1
IPC 167,1
IPC 433,1
IPC 428,1
IPC 427,1
IPC 425,1
IPC 422,1
IPC 417,1
IPC 412,1
IPC 193,1
IPC 196,1
IPC 205,1
IPC 206,1
IPC 382,1
IPC 211,1
IPC 214,1
IPC 120A,1
