,count
fraud,1145
public_servants,993
public_justice,828
property_offenses,587
crimes_against_women,361
public_tranquility,289
kidnapping,263
offenses_against_life,231
hurt_grievous_hurt,192
wrongful_restraint,157
criminal_intimidation,72
offenses_against_state,37
criminal_conspiracy,4
