,count
IPC 415,205
IPC 420,166
IPC 506,141
IPC 409,126
IPC 376,118
IPC 167,107
IPC 386,104
IPC 362,95
IPC 168,90
IPC 302,90
IPC 379,87
IPC 360,86
IPC 326A,67
IPC 395,67
IPC 354,65
IPC 321,61
IPC 143,40
IPC 354B,29
IPC 341,26
IPC 153B,24
IPC 468,23
IPC 304,23
IPC 339,22
IPC 124A,21
IPC 121,20
IPC 354A,19
IPC 324,19
IPC 322,18
IPC 125,18
IPC 390,17
IPC 477A,17
IPC 299,17
IPC 307,15
IPC 211,14
IPC 146,14
IPC 405,13
IPC 120A,13
IPC 309,12
IPC 366B,12
IPC 396,12
IPC 326,11
IPC 166,11
IPC 306,10
IPC 304A,10
IPC 319,10
IPC 402,10
IPC 366A,10
IPC 498A,9
IPC 359,9
IPC 507,9
IPC 463,9
IPC 354C,9
IPC 392,8
IPC 131,8
IPC 406,7
IPC 171E,7
IPC 505,7
IPC 354D,7
IPC 141,6
IPC 153A,6
IPC 196,6
IPC 375,6
IPC 342,6
IPC 325,6
IPC 504,6
IPC 382,6
IPC 509,6
IPC 191,5
IPC 193,5
IPC 471,5
IPC 381,5
IPC 465,5
IPC 403,5
IPC 327,5
IPC 320,5
IPC 363A,5
IPC 378,5
IPC 376A,4
IPC 503,4
IPC 300,4
IPC 308,4
IPC 147,4
IPC 361,4
IPC 323,4
IPC 340,4
IPC 399,3
IPC 120B,3
IPC 384,3
IPC 380,3
IPC 467,3
IPC 418,3
IPC 304B,2
IPC 417,2
