,count
IPC 376B,35
IPC 217,32
IPC 354C,27
IPC 171I,27
IPC 222,26
IPC 401,25
IPC 375,24
IPC 203,23
IPC 373,23
IPC 478,22
IPC 435,22
IPC 445,22
IPC 314,22
IPC 333,21
IPC 171H,21
IPC 170,21
IPC 327,18
IPC 479,17
IPC 304B,17
IPC 419,16
IPC 197,16
IPC 507,15
IPC 150,15
IPC 205,15
IPC 376D,14
IPC 469,14
IPC 486,14
IPC 194,14
IPC 171,14
IPC 211,13
IPC 349,13
IPC 143,12
IPC 376E,12
IPC 489C,12
IPC 354,12
IPC 130,11
IPC 503,11
IPC 121,11
IPC 171E,11
IPC 171D,11
IPC 202,9
IPC 484,9
IPC 428,8
IPC 356,8
IPC 321,8
IPC 305,8
IPC 131,8
IPC 153,8
IPC 307,8
IPC 128,8
IPC 482,7
IPC 354D,7
IPC 216,7
IPC 433,6
IPC 166,6
IPC 466,6
IPC 471,6
IPC 451,6
IPC 407,6
IPC 339,5
IPC 437,5
IPC 502,5
IPC 453,5
IPC 412,5
IPC 153B,5
IPC 365,5
IPC 388,5
IPC 476,5
IPC 167,5
IPC 384,5
IPC 310,5
IPC 418,5
IPC 413,5
IPC 442,4
IPC 421,4
IPC 455,4
IPC 304A,4
IPC 300,4
IPC 422,4
IPC 308,4
IPC 329,4
IPC 408,4
IPC 425,4
IPC 449,4
IPC 381,4
IPC 464,4
IPC 481,4
IPC 121A,4
IPC 380,4
IPC 508,4
IPC 126,4
IPC 506,4
IPC 145,4
IPC 500,4
IPC 498E,4
IPC 370,4
IPC 488,4
IPC 355,4
IPC 165,4
IPC 168,4
IPC 366B,4
IPC 472,4
IPC 473,4
IPC 214,4
IPC 358,4
IPC 206,4
IPC 402,4
IPC 198,4
IPC 429,4
IPC 391,3
IPC 404,3
IPC 363,3
IPC 409,3
IPC 410,3
IPC 411,3
IPC 376A,3
IPC 376,3
IPC 368A,3
IPC 336,3
IPC 397,3
IPC 338,3
IPC 374,3
IPC 120B,3
IPC 340,3
IPC 363A,3
IPC 120A,3
IPC 468,3
IPC 498A,3
IPC 169,3
IPC 225B,3
IPC 456,3
IPC 224,3
IPC 457,3
IPC 460,3
IPC 489B,3
IPC 463,3
IPC 215,3
IPC 432,3
IPC 201,3
IPC 474,3
IPC 485,3
IPC 477A,3
IPC 480,3
IPC 301,3
IPC 299,3
IPC 154,3
IPC 152,3
IPC 510,3
IPC 144,3
IPC 313,3
IPC 142,3
IPC 322,3
IPC 441,3
IPC 129,3
IPC 387,2
IPC 505,2
IPC 509,2
IPC 385,2
IPC 392,2
IPC 390,2
IPC 487,2
IPC 489A,2
IPC 498B,2
IPC 386,2
IPC 389,2
IPC 504,2
IPC 394,2
IPC 431,2
IPC 483,2
IPC 398,2
IPC 427,2
IPC 434,2
IPC 424,2
IPC 423,2
IPC 440,2
IPC 443,2
IPC 444,2
IPC 446,2
IPC 448,2
IPC 450,2
IPC 416,2
IPC 415,2
IPC 414,2
IPC 382,2
IPC 458,2
IPC 461,2
IPC 465,2
IPC 405,2
IPC 467,2
IPC 403,2
IPC 477,2
IPC 452,2
IPC 360,2
IPC 309,2
IPC 316,2
IPC 341,2
IPC 337,2
IPC 335,2
IPC 330,2
IPC 163,2
IPC 164,2
IPC 171A,2
IPC 171B,2
IPC 171G,2
IPC 191,2
IPC 192,2
IPC 320,2
IPC 199,2
IPC 315,2
IPC 157,2
IPC 312,2
IPC 200,2
IPC 207,2
IPC 304,2
IPC 303,2
IPC 226,2
IPC 225A,2
IPC 225,2
IPC 223,2
IPC 221,2
IPC 210,2
IPC 212,2
IPC 219,2
IPC 158,2
IPC 218,2
IPC 354B,2
IPC 122,2
IPC 366A,2
IPC 153A,2
IPC 357,2
IPC 141,2
IPC 364,2
IPC 366,2
IPC 354A,2
IPC 353,2
IPC 371,2
IPC 376C,2
IPC 378,2
IPC 155,2
IPC 350,2
IPC 347,2
IPC 146,2
IPC 346,2
IPC 345,2
IPC 362,2
IPC 208,1
IPC 470,1
IPC 156,1
IPC 127,1
IPC 209,1
IPC 125,1
IPC 124A,1
IPC 123,1
IPC 213,1
IPC 204,1
IPC 196,1
IPC 148,1
IPC 498D,1
IPC 159,1
IPC 216A,1
IPC 160,1
IPC 161,1
IPC 162,1
IPC 498C,1
IPC 171F,1
IPC 149,1
IPC 151,1
IPC 193,1
IPC 195,1
IPC 489E,1
IPC 475,1
IPC 501,1
IPC 489,1
IPC 383,1
IPC 462,1
IPC 361,1
IPC 420,1
IPC 342,1
IPC 343,1
IPC 417,1
IPC 344,1
IPC 351,1
IPC 352,1
IPC 406,1
IPC 359,1
IPC 400,1
IPC 332,1
IPC 399,1
IPC 364A,1
IPC 396,1
IPC 395,1
IPC 367,1
IPC 368,1
IPC 369,1
IPC 370A,1
IPC 372,1
IPC 334,1
IPC 426,1
IPC 220,1
IPC 319,1
IPC 459,1
IPC 454,1
IPC 302,1
IPC 306,1
IPC 379,1
IPC 447,1
IPC 311,1
IPC 317,1
IPC 318,1
IPC 439,1
IPC 331,1
IPC 438,1
IPC 436,1
IPC 323,1
IPC 324,1
IPC 325,1
IPC 326,1
IPC 326A,1
IPC 430,1
IPC 328,1
IPC 511,1
