episode,reward,loss,time
1,2.4,0.0,0.00200653076171875
2,3.5999999999999996,0.0,0.0
3,3.5,0.0,0.007208585739135742
4,3.6,0.0,0.0030040740966796875
5,2.7,0.0,0.002612590789794922
6,3.0,0.0,0.0015478134155273438
7,3.3,0.0,0.0
8,3.0,0.0,0.00705718994140625
9,3.3,-0.0023276954889297485,0.01217508316040039
10,3.9,-0.008116483688354492,0.008904457092285156
11,3.2,-0.005631998181343079,0.011261463165283203
12,3.3,-0.017025649547576904,0.00944209098815918
13,3.5999999999999996,-0.017221495509147644,0.008545160293579102
14,3.0,-0.030967816710472107,0.005661964416503906
15,3.2,-0.025793366134166718,0.013411760330200195
16,3.5999999999999996,-0.031012773513793945,0.006789445877075195
17,3.0,-0.02815309166908264,0.0070798397064208984
18,3.6,-0.04035629332065582,0.01604318618774414
19,3.3,-0.04717235267162323,0.01296544075012207
20,3.0,-0.034943193197250366,0.0049114227294921875
21,3.5999999999999996,-0.04659473896026611,0.023483991622924805
22,3.5999999999999996,-0.037773728370666504,0.012135505676269531
23,2.7,-0.05814190208911896,0.010003328323364258
24,3.0,-0.07931408286094666,0.01100468635559082
25,3.3,-0.06005323678255081,0.008700370788574219
26,4.2,-0.06318789720535278,0.01019906997680664
27,3.5,-0.06675632297992706,0.011609077453613281
28,3.9,-0.08203592896461487,0.011042118072509766
29,2.7,-0.100922130048275,0.005829572677612305
30,3.9,-0.10206183791160583,0.009999513626098633
31,2.7,-0.1284407377243042,0.008919715881347656
32,3.5,-0.09038643538951874,0.00913381576538086
33,3.5999999999999996,-0.14648056030273438,0.0047454833984375
34,3.3,-0.11223867535591125,0.012769937515258789
35,2.7,-0.1207382082939148,0.007773160934448242
36,3.5999999999999996,-0.07159826159477234,0.008202314376831055
37,3.9,-0.13888803124427795,0.00998830795288086
38,2.7,-0.17445874214172363,0.011421918869018555
39,2.7,-0.1449359804391861,0.010172128677368164
40,3.5,-0.16464757919311523,0.010282039642333984
41,3.6,-0.21507763862609863,0.009279727935791016
42,3.3,-0.17447222769260406,0.007514476776123047
43,2.4,-0.15974849462509155,0.015460014343261719
44,3.6,-0.1815236508846283,0.008347272872924805
45,3.9000000000000004,-0.13903385400772095,0.008000373840332031
46,3.9,-0.2677973806858063,0.0028886795043945312
47,3.6,-0.31464892625808716,0.013063907623291016
48,3.0,-0.20115597546100616,0.008848905563354492
49,3.0,-0.2648721933364868,0.005817890167236328
50,3.0,-0.18483150005340576,0.00927734375
51,3.3,-0.20253098011016846,0.007823705673217773
52,3.3,-0.4074347913265228,0.007600545883178711
53,3.6,-0.38156798481941223,0.008990049362182617
54,3.1999999999999997,-0.16740912199020386,0.007963418960571289
55,3.3,-0.22613656520843506,0.007910966873168945
56,3.3,-0.4032871127128601,0.0060765743255615234
57,3.0,-0.2592592239379883,0.006622314453125
58,3.3,-0.2572452425956726,0.006979465484619141
59,2.3,-0.44031256437301636,0.006867885589599609
60,3.2,-0.37307214736938477,0.01389169692993164
61,3.6,-0.6255936622619629,0.008445262908935547
62,3.5999999999999996,-0.5394850373268127,0.005938053131103516
63,3.5999999999999996,-0.3089180588722229,0.007618904113769531
64,2.4,-0.6012174487113953,0.010309219360351562
65,3.9000000000000004,-0.6177287101745605,0.008500814437866211
66,3.0,-0.6375405788421631,0.007751941680908203
67,3.3,-0.6341160535812378,0.007116079330444336
68,3.3,-0.5155020952224731,0.008726358413696289
69,2.6,-0.4649735689163208,0.010164737701416016
70,3.5999999999999996,-0.37665802240371704,0.00787496566772461
71,3.3,-0.5941623449325562,0.0
72,2.5999999999999996,-0.2982986569404602,0.01734137535095215
73,3.9,-0.5608983635902405,0.004436969757080078
74,2.7,-0.5147150754928589,0.012265205383300781
75,3.3,-0.5334131717681885,0.008418560028076172
76,3.0,-0.629043459892273,0.00812983512878418
77,3.3,-0.6872031688690186,0.007998943328857422
78,3.0,-0.6874663829803467,0.0038542747497558594
79,3.0,-0.3656996488571167,0.0
80,3.5999999999999996,-0.6999011039733887,0.014844655990600586
81,2.9,-0.5684647560119629,0.0
82,3.5999999999999996,-0.8379472494125366,0.022659778594970703
83,2.9,-0.558346152305603,0.006479740142822266
84,3.9,-0.3696088194847107,0.007105350494384766
85,3.4,-0.927682101726532,0.012435674667358398
86,3.3000000000000003,-0.4566681683063507,0.007918357849121094
87,3.2,-0.6491833925247192,0.007873296737670898
88,2.7,-1.1263253688812256,0.007966995239257812
89,2.8,-0.7007983922958374,0.0028808116912841797
90,3.0,-1.0527936220169067,0.0
91,3.6000000000000005,-1.1342532634735107,0.023902177810668945
92,3.0,-0.7558788061141968,0.00836491584777832
93,3.5,-0.7236288785934448,0.0034084320068359375
94,3.3,-1.1918678283691406,0.013921737670898438
95,3.0,-0.548517107963562,0.0070497989654541016
96,3.2,-0.5934909582138062,0.006000995635986328
97,2.7,-0.9983194470405579,0.0
98,3.2,-0.6166553497314453,0.01595592498779297
99,3.3,-0.5494911670684814,0.0
100,3.2,-1.267730951309204,0.015779733657836914
101,2.7,-0.5627954006195068,0.016655683517456055
102,3.3,-0.2898211181163788,0.010799169540405273
103,3.3999999999999995,-1.1477489471435547,0.007096529006958008
104,3.9,-1.155431866645813,0.006000041961669922
105,3.9,-0.6008789539337158,0.0
106,3.5999999999999996,-0.6124429702758789,0.015724658966064453
107,3.3,-1.2105932235717773,0.0
108,3.5,-1.0982784032821655,0.016106605529785156
109,3.3,-1.1403629779815674,0.0
110,2.7,-0.8659273982048035,0.0
111,3.8,-0.8057897090911865,0.001094818115234375
112,3.5999999999999996,-0.9903569221496582,0.014075994491577148
113,3.5,-0.8047070503234863,0.006531715393066406
114,3.3,-0.9538868069648743,0.014294147491455078
115,2.4,-0.9501186013221741,0.008012533187866211
116,3.2,-0.8031879663467407,0.007878303527832031
117,3.6999999999999997,-0.4486536681652069,0.008235931396484375
118,3.6,-1.121924877166748,0.008402347564697266
119,3.5,-0.9147663116455078,0.008925914764404297
120,3.0,-1.3132717609405518,0.008054256439208984
121,3.6999999999999997,-1.2436691522598267,0.010213613510131836
122,3.3,-1.0463639497756958,0.009368181228637695
123,2.9,-0.6140220165252686,0.008666276931762695
124,2.8,-1.0121314525604248,0.007155418395996094
125,3.3,-1.1321004629135132,0.010033845901489258
126,3.3,-1.0629826784133911,0.008002996444702148
127,3.5999999999999996,-0.9359824657440186,0.007753133773803711
128,3.0,-1.6503479480743408,0.009005546569824219
129,3.3,-1.3789286613464355,0.0071926116943359375
130,3.0,-1.2202212810516357,0.00790715217590332
131,3.3999999999999995,-0.6949869394302368,0.00851130485534668
132,3.5999999999999996,-1.2157241106033325,0.008718729019165039
133,3.2,-1.0358949899673462,0.009153366088867188
134,3.5999999999999996,-1.1301265954971313,0.006661415100097656
135,3.5999999999999996,-0.8326541781425476,0.009000539779663086
136,3.3,-0.8962374925613403,0.0068094730377197266
137,3.0,-0.9490025639533997,0.009037017822265625
138,3.3,-1.590898871421814,0.007945537567138672
139,3.5999999999999996,-1.4771199226379395,0.008453845977783203
140,3.3,-0.5906704068183899,0.007884740829467773
141,3.9000000000000004,-1.754731297492981,0.008930206298828125
142,3.3,-1.2268081903457642,0.010406017303466797
143,3.2,-1.455291986465454,0.006313323974609375
144,3.3,-1.5842992067337036,0.007676362991333008
145,3.5999999999999996,-0.7014526128768921,0.00882720947265625
146,3.0,-1.3224276304244995,0.009949684143066406
147,3.5999999999999996,-1.0855454206466675,0.0068585872650146484
148,2.9,-1.6868224143981934,0.009316444396972656
149,3.5999999999999996,-0.7614710927009583,0.006989002227783203
150,3.5999999999999996,-1.276714563369751,0.006999492645263672
151,3.3,-0.8138161897659302,0.004939079284667969
152,3.6,-1.4250415563583374,0.01140904426574707
153,3.3,-1.6359121799468994,0.010597467422485352
154,3.2,-1.0391383171081543,0.005243062973022461
155,3.5,-1.5452412366867065,0.014029741287231445
156,3.8,-1.3080275058746338,0.0060002803802490234
157,3.0,-1.3883899450302124,0.0
158,3.0,-1.455198884010315,0.022595643997192383
159,3.1999999999999993,-1.3021494150161743,0.00498199462890625
160,3.0,-1.643935203552246,0.0
161,3.5999999999999996,-1.1463252305984497,0.014661788940429688
162,3.3,-1.154943823814392,0.0
163,3.3,-1.334297776222229,0.023760318756103516
164,3.8,-1.366782546043396,0.0045812129974365234
165,3.0,-1.0182455778121948,0.013485908508300781
166,3.5999999999999996,-1.5860769748687744,0.008060216903686523
167,3.3,-0.9036227464675903,0.004998445510864258
168,3.8,-1.500518798828125,0.0
169,3.2,-1.5846737623214722,0.015654802322387695
170,2.7,-1.3729571104049683,0.0
171,3.9,-1.1059703826904297,0.01567363739013672
172,3.0,-1.3097530603408813,0.0
173,3.6,-1.3439003229141235,0.017746686935424805
174,2.6,-1.592480182647705,0.006997585296630859
175,3.0,-1.4326801300048828,0.008336067199707031
176,3.6,-0.933950662612915,0.004068613052368164
177,3.8,-1.3150819540023804,0.01286625862121582
178,3.2,-1.016969084739685,0.007860898971557617
179,3.3,-1.3476147651672363,0.006874561309814453
180,3.3,-1.5966644287109375,0.006807088851928711
181,3.0,-1.0779247283935547,0.01047062873840332
182,3.6,-0.9370605945587158,0.004076957702636719
183,3.5999999999999996,-1.836267113685608,0.006520271301269531
184,2.6999999999999997,-0.9539211988449097,0.014181375503540039
185,3.9,-1.2081044912338257,0.0066339969635009766
186,2.7,-0.9969179630279541,0.00916910171508789
187,3.6,-1.3427329063415527,0.006490230560302734
188,3.6,-1.3866217136383057,0.004993438720703125
189,2.9000000000000004,-1.0385411977767944,0.007056474685668945
190,3.5999999999999996,-0.9344972968101501,0.012921571731567383
191,3.2,-1.3239158391952515,0.007904767990112305
192,3.0,-1.31911039352417,0.008000373840332031
193,3.5,-1.654516577720642,0.008258342742919922
194,3.9,-1.2335587739944458,0.007554054260253906
195,3.3,-0.9816502332687378,0.007528066635131836
196,2.9,-0.7795948386192322,0.009302139282226562
197,3.0,-1.3659485578536987,0.014190673828125
198,3.3,-0.7315037846565247,0.005708217620849609
199,3.0,-1.1931804418563843,0.0
200,3.5999999999999996,-1.1287496089935303,0.015093564987182617
