,count
fraud,162
property_offenses,87
public_justice,70
wrongful_restraint,57
public_tranquility,55
kidnapping,53
offenses_against_life,52
criminal_intimidation,46
public_servants,41
hurt_grievous_hurt,37
offenses_against_state,25
crimes_against_women,22
criminal_conspiracy,7
