,count
IPC 508,13
IPC 505,12
IPC 154,10
IPC 348,10
IPC 421,9
IPC 340,9
IPC 389,9
IPC 166,8
IPC 394,8
IPC 353,7
IPC 455,7
IPC 221,7
IPC 225,7
IPC 203,7
IPC 498B,7
IPC 453,7
IPC 127,7
IPC 143,6
IPC 171B,6
IPC 361,6
IPC 349,6
IPC 507,6
IPC 402,6
IPC 395,6
IPC 498D,6
IPC 307,5
IPC 481,5
IPC 406,5
IPC 302,5
IPC 304,5
IPC 338,5
IPC 313,5
IPC 333,5
IPC 366B,5
IPC 346,5
IPC 347,5
IPC 381,5
IPC 376C,5
IPC 454,5
IPC 120A,5
IPC 424,5
IPC 161,5
IPC 164,5
IPC 500,5
IPC 169,5
IPC 392,4
IPC 468,4
IPC 323,4
IPC 464,4
IPC 341,4
IPC 363A,4
IPC 450,4
IPC 371,4
IPC 376,4
IPC 211,4
IPC 384,4
IPC 385,4
IPC 171E,4
IPC 445,4
IPC 489A,4
IPC 419,4
IPC 396,4
IPC 171D,4
IPC 123,4
IPC 410,4
IPC 195,4
IPC 335,3
IPC 160,3
IPC 416,3
IPC 426,3
IPC 326,3
IPC 418,3
IPC 425,3
IPC 316,3
IPC 336,3
IPC 442,3
IPC 461,3
IPC 407,3
IPC 358,3
IPC 451,3
IPC 448,3
IPC 375,3
IPC 435,3
IPC 309,3
IPC 436,3
IPC 379,3
IPC 440,3
IPC 354,3
IPC 317,3
IPC 168,3
IPC 208,3
IPC 303,3
IPC 199,3
IPC 489D,3
IPC 304A,3
IPC 171I,3
IPC 480,3
IPC 485,3
IPC 305,3
IPC 225B,3
IPC 204,3
IPC 162,3
IPC 380,2
IPC 383,2
IPC 443,2
IPC 130,2
IPC 209,2
IPC 131,2
IPC 376E,2
IPC 129,2
IPC 376B,2
IPC 213,2
IPC 478,2
IPC 447,2
IPC 477A,2
IPC 477,2
IPC 449,2
IPC 386,2
IPC 504,2
IPC 205,2
IPC 144,2
IPC 121A,2
IPC 420,2
IPC 171G,2
IPC 171H,2
IPC 415,2
IPC 427,2
IPC 192,2
IPC 431,2
IPC 489C,2
IPC 489B,2
IPC 434,2
IPC 506,2
IPC 398,2
IPC 439,2
IPC 486,2
IPC 141,2
IPC 310,2
IPC 365,2
IPC 332,2
IPC 498E,2
IPC 145,2
IPC 226,2
IPC 153B,2
IPC 339,2
IPC 155,2
IPC 300,2
IPC 301,2
IPC 463,2
IPC 501,2
IPC 327,2
IPC 163,2
IPC 325,2
IPC 466,2
IPC 467,2
IPC 320,2
IPC 306,2
IPC 314,2
IPC 225A,2
IPC 489E,2
IPC 502,2
IPC 355,2
IPC 364,2
IPC 363,2
IPC 146,2
IPC 147,2
IPC 120B,2
IPC 456,2
IPC 351,2
IPC 223,2
IPC 460,2
IPC 148,2
IPC 354A,2
IPC 167,2
IPC 428,1
IPC 470,1
IPC 476,1
IPC 471,1
IPC 474,1
IPC 441,1
IPC 465,1
IPC 473,1
IPC 437,1
IPC 479,1
IPC 503,1
IPC 459,1
IPC 457,1
IPC 462,1
IPC 487,1
IPC 444,1
IPC 430,1
IPC 360,1
IPC 414,1
IPC 216,1
IPC 197,1
IPC 201,1
IPC 202,1
IPC 206,1
IPC 210,1
IPC 214,1
IPC 216A,1
IPC 413,1
IPC 217,1
IPC 220,1
IPC 222,1
IPC 299,1
IPC 304B,1
IPC 311,1
IPC 196,1
IPC 194,1
IPC 193,1
IPC 191,1
IPC 171F,1
IPC 171C,1
IPC 156,1
IPC 153A,1
IPC 153,1
IPC 152,1
IPC 150,1
IPC 128,1
IPC 126,1
IPC 125,1
IPC 124A,1
IPC 122,1
IPC 121,1
IPC 315,1
IPC 321,1
IPC 322,1
IPC 374,1
IPC 412,1
IPC 411,1
IPC 408,1
IPC 404,1
IPC 401,1
IPC 400,1
IPC 399,1
IPC 397,1
IPC 393,1
IPC 391,1
IPC 390,1
IPC 382,1
IPC 376D,1
IPC 376A,1
IPC 372,1
IPC 324,1
IPC 370A,1
IPC 369,1
IPC 368A,1
IPC 368,1
IPC 364A,1
IPC 362,1
IPC 359,1
IPC 354D,1
IPC 354C,1
IPC 345,1
IPC 343,1
IPC 334,1
IPC 330,1
IPC 328,1
IPC 509,1
