,count
IPC 372,70
IPC 217,68
IPC 354C,67
IPC 171A,58
IPC 452,54
IPC 196,50
IPC 346,46
IPC 354,46
IPC 212,45
IPC 380,44
IPC 391,44
IPC 320,42
IPC 159,40
IPC 309,33
IPC 410,32
IPC 498E,32
IPC 208,28
IPC 369,25
IPC 213,23
IPC 216A,23
IPC 302,23
IPC 142,23
IPC 487,22
IPC 338,21
IPC 439,19
IPC 498D,19
IPC 501,19
IPC 374,18
IPC 507,18
IPC 333,17
IPC 225B,17
IPC 223,16
IPC 171I,16
IPC 371,16
IPC 171E,15
IPC 466,15
IPC 430,15
IPC 171C,14
IPC 362,14
IPC 488,13
IPC 314,13
IPC 398,13
IPC 164,12
IPC 434,12
IPC 171H,12
IPC 145,12
IPC 489,11
IPC 395,11
IPC 392,11
IPC 419,11
IPC 378,11
IPC 316,10
IPC 498C,10
IPC 383,10
IPC 426,10
IPC 375,10
IPC 205,10
IPC 354B,9
IPC 300,9
IPC 192,9
IPC 312,9
IPC 461,9
IPC 200,9
IPC 356,8
IPC 479,8
IPC 345,8
IPC 480,8
IPC 224,8
IPC 465,7
IPC 459,7
IPC 417,7
IPC 400,7
IPC 510,7
IPC 171,7
IPC 170,7
IPC 221,7
IPC 126,7
IPC 334,7
IPC 399,6
IPC 219,6
IPC 220,6
IPC 472,6
IPC 359,6
IPC 203,6
IPC 158,6
IPC 326,6
IPC 153B,6
IPC 376B,6
IPC 125,6
IPC 498A,5
IPC 354A,5
IPC 350,5
IPC 406,5
IPC 304,5
IPC 339,5
IPC 303,5
IPC 206,5
IPC 202,5
IPC 397,5
IPC 130,5
IPC 376C,5
IPC 427,5
IPC 505,5
IPC 191,5
IPC 148,5
IPC 156,5
IPC 447,5
IPC 323,4
IPC 463,4
IPC 402,4
IPC 393,4
IPC 473,4
IPC 329,4
IPC 226,4
IPC 349,4
IPC 376A,4
IPC 376D,4
IPC 412,4
IPC 404,4
IPC 166,4
IPC 171D,4
IPC 435,4
IPC 315,4
IPC 194,4
IPC 197,4
IPC 484,4
IPC 475,4
IPC 307,4
IPC 498B,4
IPC 348,3
IPC 344,3
IPC 379,3
IPC 376E,3
IPC 482,3
IPC 481,3
IPC 357,3
IPC 343,3
IPC 368,3
IPC 364,3
IPC 353,3
IPC 370A,3
IPC 120B,3
IPC 360,3
IPC 341,3
IPC 444,3
IPC 225,3
IPC 431,3
IPC 199,3
IPC 198,3
IPC 438,3
IPC 165,3
IPC 162,3
IPC 153A,3
IPC 424,3
IPC 153,3
IPC 147,3
IPC 506,3
IPC 131,3
IPC 128,3
IPC 121A,3
IPC 455,3
IPC 225A,3
IPC 193,3
IPC 423,3
IPC 318,3
IPC 471,3
IPC 332,3
IPC 411,3
IPC 326A,3
IPC 413,3
IPC 324,3
IPC 385,3
IPC 418,3
IPC 436,2
IPC 387,2
IPC 420,2
IPC 474,2
IPC 389,2
IPC 403,2
IPC 458,2
IPC 408,2
IPC 451,2
IPC 470,2
IPC 450,2
IPC 432,2
IPC 405,2
IPC 462,2
IPC 401,2
IPC 416,2
IPC 469,2
IPC 443,2
IPC 442,2
IPC 440,2
IPC 415,2
IPC 433,2
IPC 414,2
IPC 394,2
IPC 464,2
IPC 446,2
IPC 336,2
IPC 384,2
IPC 489D,2
IPC 476,2
IPC 301,2
IPC 299,2
IPC 222,2
IPC 216,2
IPC 215,2
IPC 214,2
IPC 207,2
IPC 500,2
IPC 201,2
IPC 195,2
IPC 171G,2
IPC 171F,2
IPC 171B,2
IPC 169,2
IPC 168,2
IPC 167,2
IPC 160,2
IPC 157,2
IPC 503,2
IPC 154,2
IPC 152,2
IPC 151,2
IPC 150,2
IPC 149,2
IPC 127,2
IPC 509,2
IPC 122,2
IPC 121,2
IPC 304A,2
IPC 456,2
IPC 351,2
IPC 340,2
IPC 478,2
IPC 366B,2
IPC 366A,2
IPC 365,2
IPC 364A,2
IPC 370,2
IPC 354D,2
IPC 373,2
IPC 485,2
IPC 489C,2
IPC 486,2
IPC 342,2
IPC 337,2
IPC 376,2
IPC 335,2
IPC 331,2
IPC 330,2
IPC 327,2
IPC 322,2
IPC 321,2
IPC 489A,2
IPC 313,2
IPC 311,2
IPC 489B,2
IPC 504,1
IPC 477,1
IPC 508,1
IPC 489E,1
IPC 460,1
IPC 477A,1
IPC 483,1
IPC 502,1
IPC 457,1
IPC 467,1
IPC 468,1
IPC 120A,1
IPC 454,1
IPC 210,1
IPC 328,1
IPC 325,1
IPC 319,1
IPC 317,1
IPC 310,1
IPC 308,1
IPC 306,1
IPC 305,1
IPC 304B,1
IPC 218,1
IPC 211,1
IPC 209,1
IPC 352,1
IPC 204,1
IPC 163,1
IPC 161,1
IPC 155,1
IPC 146,1
IPC 144,1
IPC 143,1
IPC 141,1
IPC 129,1
IPC 124A,1
IPC 123,1
IPC 347,1
IPC 355,1
IPC 453,1
IPC 407,1
IPC 449,1
IPC 448,1
IPC 445,1
IPC 441,1
IPC 437,1
IPC 429,1
IPC 428,1
IPC 425,1
IPC 422,1
IPC 421,1
IPC 409,1
IPC 396,1
IPC 358,1
IPC 390,1
IPC 388,1
IPC 386,1
IPC 382,1
IPC 381,1
IPC 368A,1
IPC 367,1
IPC 366,1
IPC 363A,1
IPC 363,1
IPC 361,1
IPC 511,1
